split,class_num,class,im_path,orig_class_num,orig_im_path,url,robust_gt_logit,difficulty
train,0,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/039cd8c5-c8cb-499a-a5a2-86ca551a59aa.jpg,1233,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/039cd8c5-c8cb-499a-a5a2-86ca551a59aa.jpg,https://morgan-idaea4-natural.s3.amazonaws.com/train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/039cd8c5-c8cb-499a-a5a2-86ca551a59aa.jpg,7.465678215026855,0.2610881736262699
train,0,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0509bb5f-c765-4978-bc56-639588bd6504.jpg,1233,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0509bb5f-c765-4978-bc56-639588bd6504.jpg,https://morgan-idaea4-natural.s3.amazonaws.com/train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0509bb5f-c765-4978-bc56-639588bd6504.jpg,5.258510589599609,0.4262332836309072
train,0,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/05814e90-9f47-4637-8e20-195cc4e12f9a.jpg,1233,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/05814e90-9f47-4637-8e20-195cc4e12f9a.jpg,https://morgan-idaea4-natural.s3.amazonaws.com/train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/05814e90-9f47-4637-8e20-195cc4e12f9a.jpg,4.738300323486328,0.4651565537229055
train,0,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0c4d27c2-1480-4568-9fda-d53802c0fa44.jpg,1233,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0c4d27c2-1480-4568-9fda-d53802c0fa44.jpg,https://morgan-idaea4-natural.s3.amazonaws.com/train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0c4d27c2-1480-4568-9fda-d53802c0fa44.jpg,8.023519515991211,0.2193492671872741
train,0,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0cfdd2c8-bf20-4980-bcc5-ab0297d3f3fe.jpg,1233,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0cfdd2c8-bf20-4980-bcc5-ab0297d3f3fe.jpg,https://morgan-idaea4-natural.s3.amazonaws.com/train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0cfdd2c8-bf20-4980-bcc5-ab0297d3f3fe.jpg,6.75401782989502,0.3143361604282644
train,0,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0f23ea57-9ecd-4d53-83e8-b9f44b5930e7.jpg,1233,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0f23ea57-9ecd-4d53-83e8-b9f44b5930e7.jpg,https://morgan-idaea4-natural.s3.amazonaws.com/train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0f23ea57-9ecd-4d53-83e8-b9f44b5930e7.jpg,7.434646129608154,0.2634100621412633
train,0,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/101f73d0-783d-43b9-8b47-5f00d3a9a0c9.jpg,1233,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/101f73d0-783d-43b9-8b47-5f00d3a9a0c9.jpg,https://morgan-idaea4-natural.s3.amazonaws.com/train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/101f73d0-783d-43b9-8b47-5f00d3a9a0c9.jpg,6.670130729675293,0.3206127767731943
train,0,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/108922ef-38d4-43cc-affe-8176b7cd8f47.jpg,1233,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/108922ef-38d4-43cc-affe-8176b7cd8f47.jpg,https://morgan-idaea4-natural.s3.amazonaws.com/train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/108922ef-38d4-43cc-affe-8176b7cd8f47.jpg,6.083546161651611,0.3645023173306506
train,0,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/13ecccd0-295f-4aaf-b6ce-f0f40a9d6c2c.jpg,1233,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/13ecccd0-295f-4aaf-b6ce-f0f40a9d6c2c.jpg,https://morgan-idaea4-natural.s3.amazonaws.com/train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/13ecccd0-295f-4aaf-b6ce-f0f40a9d6c2c.jpg,7.058846473693848,0.2915282144740113
train,0,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/16244781-a1c9-4442-8218-38a5e87eb78a.jpg,1233,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/16244781-a1c9-4442-8218-38a5e87eb78a.jpg,https://morgan-idaea4-natural.s3.amazonaws.com/train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/16244781-a1c9-4442-8218-38a5e87eb78a.jpg,7.583678245544434,0.2522591532130134
