Unnamed: 0,split,class_num,class,im_path,orig_class_num,orig_im_path,url,robust_gt_logit,robust_entropy,robust_cross_entropy,difficulty
0,train,0,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/039cd8c5-c8cb-499a-a5a2-86ca551a59aa.jpg,1233,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/039cd8c5-c8cb-499a-a5a2-86ca551a59aa.jpg,https://morgan-idaea4-natural.s3.amazonaws.com/train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/039cd8c5-c8cb-499a-a5a2-86ca551a59aa.jpg,7.465678215026855,0.0035916913766413,0.0003752004413399,0.2654149414422464
1,train,0,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0509bb5f-c765-4978-bc56-639588bd6504.jpg,1233,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0509bb5f-c765-4978-bc56-639588bd6504.jpg,https://morgan-idaea4-natural.s3.amazonaws.com/train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0509bb5f-c765-4978-bc56-639588bd6504.jpg,5.258510589599609,0.0543413534760475,0.0086101489141583,0.5925173502361984
2,train,0,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/05814e90-9f47-4637-8e20-195cc4e12f9a.jpg,1233,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/05814e90-9f47-4637-8e20-195cc4e12f9a.jpg,https://morgan-idaea4-natural.s3.amazonaws.com/train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/05814e90-9f47-4637-8e20-195cc4e12f9a.jpg,4.738300323486328,0.0886885225772857,0.0170603115111589,0.6696125509652588
3,train,0,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0c4d27c2-1480-4568-9fda-d53802c0fa44.jpg,1233,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0c4d27c2-1480-4568-9fda-d53802c0fa44.jpg,https://morgan-idaea4-natural.s3.amazonaws.com/train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0c4d27c2-1480-4568-9fda-d53802c0fa44.jpg,8.023519515991211,0.0011686193756759,0.0001072826053132,0.18274281850601404
4,train,0,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0cfdd2c8-bf20-4980-bcc5-ab0297d3f3fe.jpg,1233,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0cfdd2c8-bf20-4980-bcc5-ab0297d3f3fe.jpg,https://morgan-idaea4-natural.s3.amazonaws.com/train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0cfdd2c8-bf20-4980-bcc5-ab0297d3f3fe.jpg,6.75401782989502,0.0208219308406114,0.0028231786563992,0.3708830642699332
5,train,0,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0f23ea57-9ecd-4d53-83e8-b9f44b5930e7.jpg,1233,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0f23ea57-9ecd-4d53-83e8-b9f44b5930e7.jpg,https://morgan-idaea4-natural.s3.amazonaws.com/train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/0f23ea57-9ecd-4d53-83e8-b9f44b5930e7.jpg,7.434646129608154,0.0023173810914158,0.0002290940174134,0.2700138988451267
6,train,0,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/101f73d0-783d-43b9-8b47-5f00d3a9a0c9.jpg,1233,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/101f73d0-783d-43b9-8b47-5f00d3a9a0c9.jpg,https://morgan-idaea4-natural.s3.amazonaws.com/train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/101f73d0-783d-43b9-8b47-5f00d3a9a0c9.jpg,6.670130729675293,0.0055801658891141,0.0006246999255381,0.3833151388584234
7,train,0,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/108922ef-38d4-43cc-affe-8176b7cd8f47.jpg,1233,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/108922ef-38d4-43cc-affe-8176b7cd8f47.jpg,https://morgan-idaea4-natural.s3.amazonaws.com/train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/108922ef-38d4-43cc-affe-8176b7cd8f47.jpg,6.083546161651611,0.0597310177981853,0.0098784388974308,0.47024701614380404
8,train,0,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/13ecccd0-295f-4aaf-b6ce-f0f40a9d6c2c.jpg,1233,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/13ecccd0-295f-4aaf-b6ce-f0f40a9d6c2c.jpg,https://morgan-idaea4-natural.s3.amazonaws.com/train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/13ecccd0-295f-4aaf-b6ce-f0f40a9d6c2c.jpg,7.058846473693848,0.0053045041859149,0.0006111184484325,0.32570743623547926
9,train,0,01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/16244781-a1c9-4442-8218-38a5e87eb78a.jpg,1233,train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/16244781-a1c9-4442-8218-38a5e87eb78a.jpg,https://morgan-idaea4-natural.s3.amazonaws.com/train/01233_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_aversata/16244781-a1c9-4442-8218-38a5e87eb78a.jpg,7.583678245544434,0.0024332427419722,0.0002453026245348,0.2479273280070916
